transactionID,carrierID,customerID,amount,date
1,1,980,7.05,2008-02-27 17:05:30
2,1,476,11.28,2005-11-29 21:24:22
3,1,559,5.32,2007-03-24 22:43:46
4,1,9,17.13,2009-06-28 01:55:31
5,3,559,5.51,2005-05-14 19:53:24
6,2,581,16.12,2008-01-02 06:11:07
7,3,5,19.89,2007-12-29 06:25:33
8,2,401,14.54,2007-12-20 13:35:38
9,3,643,8.72,2005-08-31 10:21:54
10,3,800,9.97,2006-05-15 23:40:06
11,3,205,6.43,2009-11-09 09:58:38
12,3,549,10.53,2009-01-14 21:04:16
13,3,43,6.15,2007-08-03 09:04:32
14,1,999,8.69,2005-10-09 09:06:52
15,3,357,17.36,2007-10-10 06:40:23
16,2,863,5.27,2009-12-30 12:06:50
17,1,223,15.7,2007-07-28 03:10:31
18,3,445,12.04,2007-01-19 16:46:02
19,1,311,6.63,2008-09-15 03:23:26
20,1,467,9.24,2008-09-15 19:50:33
21,3,490,13.73,2007-02-06 01:38:26
22,2,365,19.28,2005-02-11 23:56:33
23,3,75,10.8,2006-01-16 07:20:18
24,3,51,7.92,2009-08-12 12:09:25
25,2,287,11.76,2008-04-02 04:11:02
26,2,608,8.7,2007-12-11 02:41:40
27,2,731,19.89,2008-11-18 09:16:01
28,2,704,6.3,2005-10-13 04:52:32
29,1,250,7.23,2007-03-23 14:13:42
30,3,794,9.87,2009-06-07 06:00:18
31,2,290,9.86,2008-05-19 18:30:26
32,3,465,5.18,2008-04-14 21:23:38
33,2,184,9.44,2009-03-27 00:20:01
34,2,112,6.99,2008-03-26 04:53:41
35,3,120,18.21,2009-04-25 06:19:13
36,2,203,17.77,2006-12-17 03:28:27
37,1,677,5.6,2007-04-25 12:15:31
38,2,113,12.81,2007-07-19 17:13:14
39,3,420,12.12,2009-11-27 02:10:25
40,3,131,10.82,2008-04-06 02:59:06
41,3,573,7.29,2009-03-10 15:06:42
42,1,964,7.07,2007-07-20 19:36:30
43,1,188,17.17,2005-09-03 19:26:12
44,3,526,13.24,2008-08-13 14:11:04
45,2,897,14.77,2006-11-29 11:26:27
46,1,687,5.03,2009-10-02 18:37:21
47,3,241,12.14,2006-06-19 04:30:32
48,2,517,18.04,2005-10-08 23:51:10
49,2,149,15.36,2005-06-07 07:00:17
50,3,947,17.02,2005-02-12 19:28:12
51,1,601,11.68,2006-05-02 23:16:47
52,2,830,17.0,2006-11-03 13:00:20
53,2,483,8.85,2009-07-06 23:04:07
54,1,508,13.94,2005-04-30 08:46:53
55,1,930,16.77,2006-04-01 08:25:45
56,2,345,17.97,2005-05-31 11:00:47
57,2,552,7.88,2007-09-09 15:05:32
58,1,532,19.52,2008-04-05 18:07:43
59,2,291,8.43,2008-03-03 20:20:49
60,2,147,6.76,2006-04-30 11:05:21
61,2,508,12.31,2008-02-12 18:24:44
62,2,533,8.72,2005-07-01 15:07:48
63,1,967,7.34,2008-06-11 05:42:40
64,2,265,10.56,2008-01-01 03:03:48
65,3,385,10.26,2009-02-11 00:37:21
66,3,978,9.83,2005-06-21 10:41:39
67,1,713,10.43,2007-08-01 18:56:32
68,1,997,16.73,2009-02-25 08:56:29
69,2,281,17.84,2007-09-11 09:44:13
70,3,192,6.06,2008-06-30 23:57:59
71,3,455,6.7,2006-08-18 02:14:44
72,2,489,11.06,2008-07-27 03:45:04
73,3,206,7.15,2005-02-13 18:17:46
74,3,972,13.56,2009-03-02 20:01:46
75,2,674,14.63,2009-12-29 01:49:48
76,2,515,8.2,2006-11-18 15:50:00
77,3,758,11.67,2007-05-27 04:26:18
78,3,642,7.45,2008-03-18 05:19:36
79,2,150,10.37,2007-03-21 02:28:06
80,3,569,13.41,2009-05-04 12:20:21
81,2,470,6.75,2006-06-01 08:01:25
82,3,157,18.64,2005-12-02 23:56:24
83,1,334,8.12,2009-09-24 18:58:00
84,2,319,10.88,2009-11-24 17:45:11
85,1,697,6.29,2006-09-16 01:47:32
86,3,216,15.75,2005-05-22 15:06:02
87,2,687,7.54,2006-09-06 08:36:52
88,1,174,10.18,2005-03-07 09:20:52
89,3,231,18.46,2007-02-01 09:04:22
90,3,625,9.04,2009-11-27 19:05:42
91,3,167,7.05,2005-12-13 21:32:44
92,1,126,9.66,2007-12-05 11:40:11
93,1,172,8.81,2007-10-31 12:50:53
94,3,4,6.7,2006-12-15 20:24:18
95,1,751,18.1,2007-04-11 08:31:08
96,2,145,14.61,2009-12-25 17:00:56
97,2,720,8.14,2007-11-26 13:55:45
98,3,476,10.59,2009-03-03 09:53:23
99,1,669,14.26,2007-01-12 17:15:00
100,1,628,6.85,2005-03-30 08:47:58
101,3,816,18.59,2008-01-25 19:19:42
102,2,841,12.22,2005-08-15 05:53:07
103,2,958,18.12,2009-02-22 08:44:10
104,1,590,17.6,2006-10-17 01:49:12
105,1,60,9.58,2009-12-03 21:23:35
106,2,152,5.19,2007-01-12 10:10:49
107,3,211,14.1,2007-05-13 19:06:31
108,2,890,14.39,2005-11-05 07:15:50
109,3,355,9.4,2006-02-11 13:26:00
110,3,920,16.98,2008-06-30 01:02:54
111,2,21,13.79,2005-05-22 16:13:14
112,1,22,16.7,2005-06-03 12:34:43
113,1,221,17.22,2008-08-04 03:15:33
114,2,677,6.84,2008-01-31 07:00:46
115,2,705,6.15,2005-03-20 02:12:19
116,2,524,15.48,2006-12-01 17:02:00
117,3,473,17.76,2006-03-14 17:29:57
118,3,628,11.17,2007-02-18 15:07:32
119,1,830,5.52,2007-06-04 15:32:46
120,1,389,11.05,2009-03-26 08:06:04
121,2,504,6.74,2009-02-10 20:35:48
122,3,91,12.1,2009-03-02 04:54:19
123,3,639,16.08,2005-08-21 13:43:26
124,2,522,17.86,2009-03-12 05:29:57
125,2,560,15.37,2005-04-05 15:40:31
126,3,774,18.61,2008-07-21 12:39:30
127,3,235,9.02,2009-05-12 19:42:55
128,1,740,18.14,2009-12-03 03:42:05
129,1,170,8.46,2007-01-17 17:53:19
130,1,388,19.7,2008-12-21 01:28:25
131,1,172,17.16,2008-07-25 22:37:27
132,2,207,8.9,2007-11-21 09:17:29
133,1,208,16.48,2006-03-02 10:37:39
134,2,345,16.06,2009-08-08 13:08:33
135,3,658,6.38,2005-05-27 21:59:35
136,3,816,17.64,2005-02-25 00:20:30
137,3,584,5.53,2005-07-23 20:56:02
138,3,277,16.61,2009-04-06 17:15:52
139,1,249,14.57,2007-06-14 01:23:53
140,1,584,12.09,2009-10-30 11:31:53
141,3,536,13.6,2008-10-26 10:12:28
142,3,666,10.45,2009-02-27 09:24:30
143,2,699,7.1,2006-02-07 20:45:51
144,2,803,16.11,2008-09-02 11:43:18
145,2,864,14.99,2009-07-31 16:00:43
146,3,116,11.8,2005-08-13 06:36:30
147,1,837,15.17,2005-11-19 00:31:00
148,2,475,12.54,2005-08-08 19:25:35
149,1,134,8.42,2005-07-02 01:33:52
150,1,845,8.48,2005-02-03 08:03:40
151,1,701,15.38,2005-02-23 11:53:37
152,3,526,8.92,2005-10-06 01:52:31
153,2,882,11.64,2009-10-30 20:54:17
154,2,279,18.21,2007-07-14 12:02:01
155,3,461,17.85,2007-05-13 16:10:06
156,2,60,19.81,2006-09-11 11:02:38
157,1,223,18.08,2007-05-04 07:51:35
158,1,392,18.28,2006-09-15 17:59:42
159,1,439,15.79,2008-02-01 00:07:49
160,2,89,11.61,2009-11-12 21:03:11
161,2,861,5.51,2008-05-25 00:16:23
162,1,88,5.52,2007-12-27 18:23:58
163,1,827,8.97,2008-05-01 13:22:33
164,3,272,7.42,2006-06-21 20:41:16
165,2,719,7.41,2006-03-08 18:15:20
166,2,826,18.23,2006-12-30 07:58:33
167,1,648,7.68,2005-09-03 02:10:29
168,3,213,10.33,2009-11-05 17:33:18
169,3,389,8.78,2007-11-18 02:27:36
170,2,364,8.34,2006-10-05 04:13:38
171,3,670,6.92,2007-03-31 07:16:06
172,1,698,10.62,2006-09-19 11:38:15
173,1,454,14.54,2007-11-29 17:56:27
174,1,991,18.8,2007-07-08 07:14:52
175,2,592,10.92,2005-03-14 12:05:32
176,3,97,16.25,2007-10-16 21:42:19
177,1,178,6.7,2007-06-27 03:53:58
178,2,95,10.48,2006-04-28 08:18:51
179,3,399,15.34,2007-01-07 07:23:37
180,1,799,10.69,2005-09-08 16:12:28
181,2,575,6.05,2005-07-02 10:56:27
182,1,363,14.03,2008-02-12 15:45:18
183,2,842,12.99,2007-04-30 11:10:23
184,2,227,12.97,2009-02-14 19:48:55
185,2,47,12.95,2008-01-20 11:16:30
186,3,700,14.77,2007-01-26 16:31:06
187,3,434,5.76,2005-07-23 13:49:43
188,3,945,13.25,2008-07-26 20:34:45
189,2,111,9.8,2005-12-05 08:23:31
190,1,808,9.07,2005-04-25 17:22:35
191,2,361,9.84,2007-10-09 22:22:25
192,3,564,15.89,2005-11-13 11:58:20
193,3,391,17.45,2008-12-12 17:25:03
194,2,58,11.71,2005-04-17 14:41:44
195,3,850,12.33,2005-08-23 09:52:54
196,1,617,10.9,2005-09-25 12:01:34
197,1,415,16.63,2008-07-20 02:21:28
198,3,688,7.41,2005-10-09 17:07:03
199,3,345,8.53,2008-06-17 23:47:33
200,2,140,7.24,2007-05-08 16:41:49
201,3,809,6.03,2006-07-26 19:24:49
